latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
51.91173,-102.36501,300.67,2.17,1.43,2023-06-01,0332,Terra,MODIS,32,6.1NRT,288.05,15.45,N
58.38121,-113.88264,308.98,3.62,1.78,2023-06-01,0334,Terra,MODIS,50,6.1NRT,283.3,65.01,D
58.36435,-113.9349,358.41,3.64,1.79,2023-06-01,0334,Terra,MODIS,100,6.1NRT,287.24,541.76,D
58.34735,-113.98747,310.99,3.66,1.79,2023-06-01,0334,Terra,MODIS,9,6.1NRT,284.56,68.77,D
58.37794,-113.95088,324.86,3.64,1.79,2023-06-01,0334,Terra,MODIS,82,6.1NRT,284.25,148.56,D
55.90613,-107.98804,322.29,2.74,1.58,2023-06-01,0334,Terra,MODIS,85,6.1NRT,287.21,83.4,D
56.18124,-106.82827,302.38,2.4,1.49,2023-06-01,0334,Terra,MODIS,24,6.1NRT,289.28,14.97,N
56.23849,-106.66735,302.26,2.35,1.48,2023-06-01,0334,Terra,MODIS,48,6.1NRT,288.39,18.98,N
56.1932,-106.83891,316.27,2.4,1.49,2023-06-01,0334,Terra,MODIS,93,6.1NRT,288.99,48.56,N
55.90616,-107.89649,319.42,2.71,1.58,2023-06-01,0334,Terra,MODIS,99,6.1NRT,289.67,74.52,D
55.91882,-107.90754,341.32,2.71,1.58,2023-06-01,0334,Terra,MODIS,100,6.1NRT,289.13,200.7,D
55.90808,-107.94629,304.33,2.73,1.58,2023-06-01,0334,Terra,MODIS,44,6.1NRT,287.51,27.87,D
55.89732,-107.98499,326.94,2.74,1.58,2023-06-01,0334,Terra,MODIS,100,6.1NRT,288.94,114.52,D
55.77359,-107.81702,307.4,2.73,1.58,2023-06-01,0334,Terra,MODIS,28,6.1NRT,288.14,33.65,D
55.5159,-108.01937,306.75,2.84,1.61,2023-06-01,0334,Terra,MODIS,37,6.1NRT,287.72,36.85,N
55.99413,-107.00178,321.46,2.48,1.52,2023-06-01,0334,Terra,MODIS,100,6.1NRT,289.55,69.48,N
56.1212,-106.9006,301.82,2.43,1.5,2023-06-01,0334,Terra,MODIS,26,6.1NRT,289,15.72,N
56.18497,-106.82662,300.93,2.4,1.49,2023-06-01,0334,Terra,MODIS,36,6.1NRT,289.18,13.68,N
55.91466,-107.89902,350.26,2.71,1.58,2023-06-01,0334,Terra,MODIS,100,6.1NRT,290.39,265.69,D
55.90408,-107.93787,329.72,2.73,1.58,2023-06-01,0334,Terra,MODIS,100,6.1NRT,289.15,116.76,D
56.49479,-106.73185,304.43,2.31,1.47,2023-06-01,0334,Terra,MODIS,42,6.1NRT,282.34,29.12,D
56.42651,-107.05113,302.12,2.4,1.49,2023-06-01,0334,Terra,MODIS,23,6.1NRT,284.7,23.01,D
56.44139,-107.10741,314.94,2.41,1.5,2023-06-01,0334,Terra,MODIS,64,6.1NRT,284.02,48.81,D
56.46118,-107.13163,386.25,2.41,1.5,2023-06-01,0334,Terra,MODIS,100,6.1NRT,295.78,649.52,D
56.45207,-107.16611,393.22,2.42,1.5,2023-06-01,0334,Terra,MODIS,100,6.1NRT,296.02,775.96,D
58.35709,-113.91956,327.54,3.64,1.79,2023-06-01,0334,Terra,MODIS,99,6.1NRT,284.73,172.42,D
58.34026,-113.97237,325.37,3.66,1.79,2023-06-01,0334,Terra,MODIS,90,6.1NRT,284.37,155.04,D
